DATE,Season,TMP,DEW,HUMIDITY,Hour Number,Weekday,Month,Public Holiday,Wind Speed,Rainfall/Snowfall,Ensemble_Predicted_Demand
2025-03-01 00:00:00,2,21,-5.61,16,0,6,3,0,2.1,0.0,708.3744056779929
2025-03-01 01:00:00,2,19,-5.65,18,1,6,3,0,3.1,0.0,678.0557435250046
2025-03-01 02:00:00,2,18,-5.65,20,2,6,3,0,4.1,0.0,652.5622243267019
2025-03-01 03:00:00,2,18,-5.61,20,3,6,3,0,4.1,0.0,647.2744804824042
2025-03-01 04:00:00,2,16,-6.75,21,4,6,3,0,1.5,0.0,653.6991080409268
2025-03-01 05:00:00,2,12,-6.75,26,5,6,3,0,0.0,0.0,672.6340120388838
2025-03-01 06:00:00,2,12,-6.709999999999999,26,6,6,3,0,2.6,0.0,690.1323844332388
2025-03-01 07:00:00,2,11,-7.25,28,7,6,3,0,2.1,0.0,712.1177948831418
2025-03-01 08:00:00,2,9,-7.25,30,8,6,3,0,0.0,0.0,727.3075076023376
2025-03-01 09:00:00,2,9,-7.209999999999999,30,9,6,3,0,2.1,0.0,735.1022861958954
2025-03-01 10:00:00,2,8,-8.95,29,10,6,3,0,3.1,0.0,733.5628527903782
2025-03-01 11:00:00,2,7,-8.95,32,11,6,3,0,4.6,0.0,731.0627759167777
2025-03-01 12:00:00,2,7,-8.91,32,12,6,3,0,4.6,0.0,721.08272826384
2025-03-01 13:00:00,2,7,-8.35,32,13,6,3,0,3.1,0.0,714.3499282903376
2025-03-01 14:00:00,2,11,-7.25,28,14,6,3,0,4.1,0.0,730.9977835744307
2025-03-01 15:00:00,2,11,-7.209999999999999,28,15,6,3,0,4.1,0.0,735.9492526814146
2025-03-01 16:00:00,2,17,-6.15,20,16,6,3,0,3.1,0.0,782.4267293282699
2025-03-01 17:00:00,2,19,-6.15,17,17,6,3,0,0.0,0.0,825.519235990472
2025-03-01 18:00:00,2,19,-6.11,17,18,6,3,0,2.6,0.0,817.9237130013846
2025-03-01 19:00:00,2,23,-6.15,13,19,6,3,0,3.6,0.0,862.7038795221886
2025-03-01 20:00:00,2,24,-6.15,13,20,6,3,0,3.1,0.0,868.8103384121098
2025-03-01 21:00:00,2,24,-6.11,13,21,6,3,0,4.6,0.0,840.8683773627217
2025-03-01 22:00:00,2,26,-7.85,10,22,6,3,0,2.1,0.0,815.8881491731477
2025-03-01 23:00:00,2,26,-7.25,11,23,6,3,0,3.6,0.0,767.7681295859174
2025-03-02 00:00:00,2,26,-7.209999999999999,11,0,7,3,0,3.6,0.0,706.6626815435825
2025-03-02 01:00:00,2,23,-8.95,11,1,7,3,0,3.1,0.0,670.7758506172354
2025-03-02 02:00:00,2,22,-8.95,12,2,7,3,0,4.6,0.0,644.238755016577
2025-03-02 03:00:00,2,22,-8.91,12,3,7,3,0,7.2,0.0,622.5983094334554
2025-03-02 04:00:00,2,21,-5.05,17,4,7,3,0,9.3,0.0,625.6130172350646
2025-03-02 05:00:00,2,20,-5.65,17,5,7,3,0,4.1,0.0,626.9199704371418
2025-03-02 06:00:00,2,20,-5.61,17,6,7,3,0,4.1,0.0,632.338541948964
2025-03-02 07:00:00,2,19,-8.35,14,7,7,3,0,8.8,0.0,647.5662116275396
2025-03-02 08:00:00,2,19,-6.75,17,8,7,3,0,12.9,0.0,666.2194394087032
2025-03-02 09:00:00,2,16,-6.11,21,9,7,3,0,11.8,0.0,678.1104131876975
2025-03-02 10:00:00,2,14,-6.15,24,10,7,3,0,13.4,0.0,688.9419747943201
