DATE,Season,TMP,DEW,HUMIDITY,Hour Number,Weekday,Month,Public Holiday,Wind Speed,Rainfall/Snowfall
2024-01-01 00:00:00,1,15,-12.21,14,0,1,1,1,4.1,0.0
2024-01-01 01:00:00,1,11,-11.75,19,1,1,1,1,0.0,0.0
2024-01-01 02:00:00,1,13,-12.25,16,2,1,1,1,1.5,0.0
2024-01-01 03:00:00,1,13,-12.21,16,3,1,1,1,1.5,0.0
2024-01-01 04:00:00,1,8,-9.45,27,4,1,1,1,2.1,0.0
2024-01-01 05:00:00,1,6,-11.15,28,5,1,1,1,3.6,0.0
2024-01-01 06:00:00,1,6,-11.11,28,6,1,1,1,3.6,0.0
2024-01-01 07:00:00,1,6,-11.15,29,7,1,1,1,0.0,0.0
2024-01-01 08:00:00,1,3,-11.15,35,8,1,1,1,2.6,0.0
2024-01-01 09:00:00,1,3,-11.11,35,9,1,1,1,2.6,0.0
2024-01-01 10:00:00,1,1,-12.25,37,10,1,1,1,1.5,0.0
2024-01-01 11:00:00,1,1,-12.25,37,11,1,1,1,0.0,0.0
2024-01-01 12:00:00,1,1,-12.21,38,12,1,1,1,2.1,0.0
2024-01-01 13:00:00,1,-1,-12.25,43,13,1,1,1,3.6,0.0
2024-01-01 14:00:00,1,1,-11.15,41,14,1,1,1,3.1,0.0
2024-01-01 15:00:00,1,1,-11.11,41,15,1,1,1,3.1,0.0
2024-01-01 16:00:00,1,8,-8.95,29,16,1,1,1,0.0,0.0
2024-01-01 17:00:00,1,11,-10.65,21,17,1,1,1,1.5,0.0
2024-01-01 18:00:00,1,11,-10.61,21,18,1,1,1,2.1,0.0
2024-01-01 19:00:00,1,16,-10.65,15,19,1,1,1,0.0,0.0
2024-01-01 20:00:00,1,17,-11.75,13,20,1,1,1,1.5,0.0
2024-01-01 21:00:00,1,17,-11.71,13,21,1,1,1,2.1,0.0
2024-01-01 22:00:00,1,16,-11.75,14,22,1,1,1,3.1,0.0
2024-01-01 23:00:00,1,15,-11.15,15,23,1,1,1,3.1,0.0
2024-01-02 00:00:00,1,15,-11.11,15,0,2,1,0,3.6,0.0
2024-01-02 01:00:00,1,12,-10.05,20,1,2,1,0,4.6,0.0
2024-01-02 02:00:00,1,10,-9.45,24,2,2,1,0,3.1,0.0
