DATE,Demand (MW),Season,TMP,DEW,HUMIDITY,Hour Number,Weekday,Month,Public Holiday,Wind Speed,Rainfall/Snowfall,Demand_lag24,Demand_roll24,Predicted Demand
2024-01-01 00:00:00,760.0118712442426,1,15,-12.21,14,0,1,1,1,4.1,0.0,901.0,835.3478260869565,760.0118712442426
2024-01-01 01:00:00,735.4885997346236,1,11,-11.75,19,1,1,1,1,0.0,0.0,870.0,830.5657335323583,735.4885997346236
2024-01-01 02:00:00,685.0486632068805,1,13,-12.25,16,2,1,1,1,1.5,0.0,847.0,825.7174117816899,685.0486632068805
2024-01-01 03:00:00,677.8543041582082,1,13,-12.21,16,3,1,1,1,1.5,0.0,824.0,819.6760493124237,677.8543041582082
2024-01-01 04:00:00,706.4989996517197,1,8,-9.45,27,4,1,1,1,2.1,0.0,824.0,813.3218886236501,706.4989996517197
2024-01-01 05:00:00,739.2972708771118,1,6,-11.15,28,5,1,1,1,3.6,0.0,832.0,807.8653233911164,739.2972708771118
2024-01-01 06:00:00,788.778704047617,1,6,-11.11,28,6,1,1,1,3.6,0.0,845.0,803.2695525596864,788.778704047617
2024-01-01 07:00:00,826.6087560288403,1,6,-11.15,29,7,1,1,1,0.0,0.0,881.0,799.2599309965392,826.6087560288403
2024-01-01 08:00:00,858.8638310514757,1,3,-11.15,35,8,1,1,1,2.6,0.0,870.0,797.3733551717063,858.8638310514757
2024-01-01 09:00:00,856.5586388569722,1,3,-11.11,35,9,1,1,1,2.6,0.0,841.0,798.1500434782921,856.5586388569722
2024-01-01 10:00:00,848.1629643803101,1,1,-12.25,37,10,1,1,1,1.5,0.0,799.0,800.6525929938127,848.1629643803101
2024-01-01 11:00:00,840.9275728108505,1,1,-12.25,37,11,1,1,1,0.0,0.0,779.0,803.6596784016523,840.9275728108505
2024-01-01 12:00:00,827.6282231402936,1,1,-12.21,38,12,1,1,1,2.1,0.0,740.0,808.0478337412544,827.6282231402936
2024-01-01 13:00:00,817.3901910729417,1,-1,-12.25,43,13,1,1,1,3.6,0.0,724.0,812.5534086603976,817.3901910729417
2024-01-01 14:00:00,800.3652349219532,1,1,-11.15,41,14,1,1,1,3.1,0.0,720.0,816.7877647940037,800.3652349219532
2024-01-01 15:00:00,800.2283458843442,1,1,-11.11,41,15,1,1,1,3.1,0.0,743.0,819.2819054427844,800.2283458843442
2024-01-01 16:00:00,826.7208478114135,1,8,-8.95,29,16,1,1,1,0.0,0.0,776.0,820.335311785582,826.7208478114135
2024-01-01 17:00:00,843.6023959453169,1,11,-10.65,21,17,1,1,1,1.5,0.0,836.0,819.9318703860781,843.6023959453169
2024-01-01 18:00:00,900.6163298593409,1,11,-10.61,21,18,1,1,1,2.1,0.0,927.0,816.3058876010919,900.6163298593409
2024-01-01 19:00:00,951.1546684969067,1,16,-10.65,15,19,1,1,1,0.0,0.0,949.0,814.2022497688894,951.1546684969067
2024-01-01 20:00:00,948.4812611801278,1,17,-11.75,13,20,1,1,1,1.5,0.0,932.0,815.0350614426679,948.4812611801278
2024-01-01 21:00:00,937.3510940046004,1,17,-11.71,13,21,1,1,1,2.1,0.0,910.0,816.7081597548474,937.3510940046004
2024-01-01 22:00:00,927.5694591025334,1,16,-11.75,14,22,1,1,1,3.1,0.0,882.0,819.1147290593952,927.5694591025334
2024-01-01 23:00:00,852.7213525799266,1,15,-11.15,15,23,1,1,1,3.1,0.0,862.0,821.9655751073316,852.7213525799266
2024-01-02 00:00:00,808.0237014960074,1,15,-11.11,15,0,2,1,0,3.6,0.0,760.0118712442426,825.9964221219266,808.0237014960074
2024-01-02 01:00:00,778.4404111229608,1,12,-10.05,20,1,2,1,0,4.6,0.0,735.4885997346236,829.1501221985083,778.4404111229608
2024-01-02 02:00:00,757.9716440560845,1,10,-9.45,24,2,2,1,0,3.1,0.0,685.0486632068805,833.2106329774684,757.9716440560845
2024-01-02 03:00:00,757.0119518360369,1,10,-9.41,24,3,2,1,0,5.1,0.0,677.8543041582082,836.6939955817237,757.0119518360369
2024-01-02 04:00:00,742.2246761073797,1,9,-8.35,29,4,2,1,0,0.0,0.0,706.4989996517197,838.8902108940855,742.2246761073797
2024-01-02 05:00:00,774.6225757073538,1,8,-7.85,31,5,2,1,0,3.1,0.0,739.2972708771118,839.017489382358,774.6225757073538
2024-01-02 06:00:00,831.9344947713943,1,8,-7.81,31,6,2,1,0,4.6,0.0,788.778704047617,838.402005541477,831.9344947713943
2024-01-02 07:00:00,901.3034648314782,1,9,-7.25,31,7,2,1,0,8.2,0.0,826.6087560288403,838.633559399849,901.3034648314782
