DATE,Season,TMP,DEW,HUMIDITY,Hour Number,Weekday,Month,Public Holiday,Wind Speed,Rainfall/Snowfall,Ensemble_Predicted_Demand
2024-01-01 00:00:00,1,15,-12.21,14,0,1,1,1,4.1,0.0,776.2476989371502
2024-01-01 01:00:00,1,11,-11.75,19,1,1,1,1,0.0,0.0,755.0170951672869
2024-01-01 02:00:00,1,13,-12.25,16,2,1,1,1,1.5,0.0,695.6342113765022
2024-01-01 03:00:00,1,13,-12.21,16,3,1,1,1,1.5,0.0,695.2797526691427
2024-01-01 04:00:00,1,8,-9.45,27,4,1,1,1,2.1,0.0,725.3380336985786
2024-01-01 05:00:00,1,6,-11.15,28,5,1,1,1,3.6,0.0,754.6780147961572
2024-01-01 06:00:00,1,6,-11.11,28,6,1,1,1,3.6,0.0,787.1539681913125
2024-01-01 07:00:00,1,6,-11.15,29,7,1,1,1,0.0,0.0,817.007485565833
2024-01-01 08:00:00,1,3,-11.15,35,8,1,1,1,2.6,0.0,867.9387208971527
2024-01-01 09:00:00,1,3,-11.11,35,9,1,1,1,2.6,0.0,870.6937680427889
2024-01-01 10:00:00,1,1,-12.25,37,10,1,1,1,1.5,0.0,860.4748415138429
2024-01-01 11:00:00,1,1,-12.25,37,11,1,1,1,0.0,0.0,847.7521326399652
2024-01-01 12:00:00,1,1,-12.21,38,12,1,1,1,2.1,0.0,840.2423903303362
2024-01-01 13:00:00,1,-1,-12.25,43,13,1,1,1,3.6,0.0,838.8467014291766
2024-01-01 14:00:00,1,1,-11.15,41,14,1,1,1,3.1,0.0,829.9057375234688
2024-01-01 15:00:00,1,1,-11.11,41,15,1,1,1,3.1,0.0,832.4125053459252
2024-01-01 16:00:00,1,8,-8.95,29,16,1,1,1,0.0,0.0,845.2373503550341
2024-01-01 17:00:00,1,11,-10.65,21,17,1,1,1,1.5,0.0,873.262552616408
2024-01-01 18:00:00,1,11,-10.61,21,18,1,1,1,2.1,0.0,923.0508532327989
2024-01-01 19:00:00,1,16,-10.65,15,19,1,1,1,0.0,0.0,949.7885275550127
2024-01-01 20:00:00,1,17,-11.75,13,20,1,1,1,1.5,0.0,946.4584834759573
2024-01-01 21:00:00,1,17,-11.71,13,21,1,1,1,2.1,0.0,937.1179278362151
2024-01-01 22:00:00,1,16,-11.75,14,22,1,1,1,3.1,0.0,931.268140086326
2024-01-01 23:00:00,1,15,-11.15,15,23,1,1,1,3.1,0.0,899.5420932780644
2024-01-02 00:00:00,1,15,-11.11,15,0,2,1,0,3.6,0.0,809.5864032058248
2024-01-02 01:00:00,1,12,-10.05,20,1,2,1,0,4.6,0.0,774.9499864706687
2024-01-02 02:00:00,1,10,-9.45,24,2,2,1,0,3.1,0.0,759.5000589896213
2024-01-02 03:00:00,1,10,-9.41,24,3,2,1,0,5.1,0.0,759.7435014375399
2024-01-02 04:00:00,1,9,-8.35,29,4,2,1,0,0.0,0.0,753.40064314803
2024-01-02 05:00:00,1,8,-7.85,31,5,2,1,0,3.1,0.0,792.3635566501291
2024-01-02 06:00:00,1,8,-7.81,31,6,2,1,0,4.6,0.0,858.1079043538703
2024-01-02 07:00:00,1,9,-7.25,31,7,2,1,0,8.2,0.0,916.8323600536851
2024-01-02 08:00:00,1,8,-6.75,34,8,2,1,0,6.7,0.0,933.2266707262252
2024-01-02 09:00:00,1,8,-6.709999999999999,34,9,2,1,0,6.7,0.0,926.8364554010388
2024-01-02 10:00:00,1,9,-8.35,29,10,2,1,0,4.1,0.0,911.2748288887719
2024-01-02 11:00:00,1,9,-8.35,28,11,2,1,0,0.0,0.0,894.1763427592064
2024-01-02 12:00:00,1,9,-8.309999999999999,28,12,2,1,0,4.6,0.0,882.8724112413156
2024-01-02 13:00:00,1,8,0.65,60,13,2,1,0,4.6,0.0,874.3823640267847
2024-01-02 14:00:00,1,8,0.65,58,14,2,1,0,0.0,0.0,863.3628600563381
2024-01-02 15:00:00,1,8,0.61,58,15,2,1,0,0.0,0.0,862.2157836597119
2024-01-02 16:00:00,1,9,0.65,54,16,2,1,0,3.6,0.0,870.1508538948153
2024-01-02 17:00:00,1,11,0.65,48,17,2,1,0,5.1,0.0,886.4531380037763
2024-01-02 18:00:00,1,11,0.61,48,18,2,1,0,5.1,0.0,939.8045820227414
2024-01-02 19:00:00,1,13,0.65,43,19,2,1,0,1.5,0.0,977.6063278851673
2024-01-02 20:00:00,1,14,0.65,40,20,2,1,0,2.1,0.0,994.299114435943
2024-01-02 21:00:00,1,14,0.61,40,21,2,1,0,2.1,0.0,989.8173946972033
2024-01-02 22:00:00,1,15,-1.75,31,22,2,1,0,3.1,0.0,956.3333784857914
2024-01-02 23:00:00,1,14,-1.75,33,23,2,1,0,3.6,0.0,916.3706754432155
2024-01-03 00:00:00,1,14,-1.7100000000000002,33,0,3,1,0,3.6,0.0,812.9666419333901
2024-01-03 01:00:00,1,11,-1.75,41,1,3,1,0,2.1,0.0,768.5125294139566
2024-01-03 02:00:00,1,11,-0.65,44,2,3,1,0,2.6,0.0,738.9026121319705
2024-01-03 03:00:00,1,11,-0.61,44,3,3,1,0,4.6,0.0,743.3428041578534
2024-01-03 04:00:00,1,11,-0.65,44,4,3,1,0,1.5,0.0,736.408072304717
2024-01-03 05:00:00,1,6,-1.75,59,5,3,1,0,2.1,0.0,800.1974926273358
2024-01-03 06:00:00,1,6,-1.7100000000000002,59,6,3,1,0,3.1,0.0,865.4670892035085
2024-01-03 07:00:00,1,3,-1.75,69,7,3,1,0,2.6,0.0,953.9636360782091
2024-01-03 08:00:00,1,4,-1.15,69,8,3,1,0,2.6,0.0,956.9867734258569
2024-01-03 09:00:00,1,4,-1.11,70,9,3,1,0,2.6,0.0,945.8912455308173
2024-01-03 10:00:00,1,3,-1.75,72,10,3,1,0,0.0,0.0,921.4764766543979
2024-01-03 11:00:00,1,2,-1.15,78,11,3,1,0,0.0,0.0,900.3525430981258
2024-01-03 12:00:00,1,2,-1.11,79,12,3,1,0,1.5,0.0,884.6842635679161
2024-01-03 13:00:00,1,1,-2.85,75,13,3,1,0,2.1,0.0,866.8084122676444
2024-01-03 14:00:00,1,1,-2.85,75,14,3,1,0,0.0,0.0,864.4213325680867
2024-01-03 15:00:00,1,1,-2.81,75,15,3,1,0,0.0,0.0,862.900920043611
2024-01-03 16:00:00,1,7,-0.65,57,16,3,1,0,0.0,0.0,864.6163000044533
2024-01-03 17:00:00,1,9,0.05,52,17,3,1,0,0.0,0.0,878.5631443070662
2024-01-03 18:00:00,1,9,0.01,52,18,3,1,0,2.6,0.0,937.9590710531684
2024-01-03 19:00:00,1,13,0.65,42,19,3,1,0,3.6,0.0,979.2332283088545
2024-01-03 20:00:00,1,14,0.05,37,20,3,1,0,2.6,0.0,994.6127493032589
2024-01-03 21:00:00,1,14,0.01,37,21,3,1,0,2.6,0.0,989.5351225639813
2024-01-03 22:00:00,1,16,-2.25,29,22,3,1,0,4.1,0.0,954.5078616327226
2024-01-03 23:00:00,1,14,-2.25,32,23,3,1,0,3.6,0.0,916.3178938214883
2024-01-04 00:00:00,1,14,-2.21,32,0,4,1,0,3.6,0.0,816.5029369446323
2024-01-04 01:00:00,1,10,-2.25,42,1,4,1,0,3.1,0.0,786.7573925070496
2024-01-04 02:00:00,1,9,-2.85,43,2,4,1,0,3.1,0.0,759.5594263045957
2024-01-04 03:00:00,1,9,-2.81,44,3,4,1,0,3.1,0.0,753.8342994218547
2024-01-04 04:00:00,1,8,-3.35,45,4,4,1,0,0.0,0.0,759.173794973555
2024-01-04 05:00:00,1,8,-3.95,42,5,4,1,0,1.5,0.0,789.2493289285908
